Category,Message,Message_Length
0,goodo yes must speak friday eggpotato ratio tortilla needed,59
0,hmmmy uncle informed hes paying school directly pls buy food,60
1,private account statement shows unredeemed bonus points claim call identifier code expires,90
1,urgent mobile awarded å bonus caller prize final try contact u call landline boxwrc ppm,87
0,new address applespairsall malarky,34
1,todays voda numbers ending selected receive award match please call quoting claim code standard rates app,105
0,going sao mu today done,23
0,ìï predict wat time ì_ll finish buying,38
0,good stuff,10
0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,127
0,room,4
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,74
0,kkhow much cost,15
0,im home,7
0,dear call tmorrowpls accomodate,31
0,first answer question,21
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr å sptyrone,87
1,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp,131
0,haf msn yijuehotmailcom,23
0,call meet,9
0,check rooms befor activities,28
1,youll rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try,101
0,got c lazy type forgot ì_ lect saw pouch like v nice,52
0,k text youre way,16
0,sir waiting mail,16
0,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni,116
0,know pls open back,18
0,yes see ya dot,14
0,whats staff name taking class us,32
1,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,109
0,ummmawill call check inour life begin qatar pls pray hard,57
0,ki deleted contact,18
0,sindu got job birla soft,24
0,wine flowing im nevering,24
0,yup thk cine better cos need go plaza mah,41
0,ok ur typical reply,19
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,111
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one,208
0,aaooooright work,16
0,im leaving house,16
0,hello love get interview today happy good boy think meare missing,65
1,customer service annoncement new years delivery waiting please call arrange delivery,84
1,winner u specially selected receive å cash holiday flights inc speak live operator claim,88
0,keep safe need miss already envy everyone sees real life,56
0,new car house parentsi new job hand,35
0,im love im excited day spend make happy,39
1,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd,95
1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu,115
0,place ur points e cultures module already,41
1,urgent trying contact last weekends draw shows å prize guaranteed call claim code valid hrs,91
0,hi frnd best way avoid missunderstding wit beloved ones,55
0,great escape fancy bridge needs lager see tomo,46
0,yes completely formclark also utter waste,41
0,sir need axis bank account bank address,39
0,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,69
0,time coming later,17
0,bloody hell cant believe forgot surname mr ill give u clue spanish begins,73
0,well im gon na finish bath goodfine night,41
0,let know youve got money carlos make call,41
0,u still going mall,18
0,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,87
0,text doesnt reply let know log,30
0,hi spoke maneesha v wed like know satisfied experience reply toll free yes,74
0,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend,95
0,lol u trust,11
0,ok gentleman treat dignity respect,34
0,guys close,10
0,going nothing greatbye,22
0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,89
0,haha awesome minute,19
1,please call customer service representative freephone ampm guaranteed å cash å prize,84
0,got xmas radio times get,24
0,jus reached home go bathe first sis using net tell u finishes k,63
1,unique enough find th august wwwareyouuniquecouk,48
0,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week,114
0,hi finally completed course,27
0,stop however suggest stays someone able give ors every stool,60
0,hope youve settled new school year wishin gr day,48
0,gud mrng dear hav nice day,26
0,u got persons story,19
0,hamster dead hey tmr meet pm orchard mrt,40
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,70
0,found enc ltgt,14
0,sent ltgt bucks,15
0,hello darlin ive finished college txt u finish u love kate xxx,62
0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt,120
0,goodmorning sleeping ga,23
0,u call alter ok,15
0,ìï say like dat dun buy ericsson oso oredi lar,46
0,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,90
0,aight yo dats straight dogg,27
0,please give us connection today ltdecimalgt refund bill,55
0,shoot big loads get ready,25
0,whats bruv hope great break rewarding semester,46
0,home always chat,16
0,kkgoodstudy well,16
0,yup ì_ noe leh,14
0,sounds great home,17
0,finally match heading towards draw prediction,45
0,tired havent slept well past nights,35
0,easy ahsen got selected means good,34
0,take exam march,15
0,yeah think use gt atm register sure theres anyway help let know sure ready,74
0,ok prob take ur time,20
0,os called ubandu run without installing hard diskyou use os copy important files system give repair shop,104
0,sorry ill call later,20
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,90
1,new mobiles must go txt nokia collect todayfrom å wwwtcbiz optout gbpmtmsg,74
0,would really appreciate call need someone talk,46
1,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,106
0,hey company elama po mudyadhu,29
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,124
0,dear good morning,17
0,get gandhipuram walk cross cut road right side ltgt street road turn first right,80
0,dear going rubber place,23
0,sorry battery died yeah im,26
0,yeshere tv always available work place,38
1,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recdthirtyeight pence,108
0,printed oh ltgt come upstairs,29
0,ill little closer like bus stop street,38
0,youwhen wil reach,17
0,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,100
1,u secret admirer looking make contact ufind rreveal thinks ur specialcall,73
0,tomarrow final hearing laptop case cant,39
0,pleassssssseeeeee tel v avent done sportsx,42
0,okay shining meant signing sounds better,40
0,although told u dat im baig face watches really like e watch u gave cos fr u thanx everything dat uve done today im touched,123
0,u dont remember old commercial,30
0,late said website didnt dont slippers,37
0,asked call ok,13
0,kallis wont bat nd innings,26
0,didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep,81
1,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs wwwldewcomwinppmxage,111
0,ranjith cal drpd deeraj deepak min hold,39
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,141
0,doinghow,8
0,ups days also shipping company takes wks way usps takes week gets lag may bribe nipost get stuff,96
0,im back lem know youre ready,28
0,dont necessarily expect done get back though im headin,54
0,mmm yummy babe nice jolt suzy,29
0,lover need,10
1,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call,97
0,iûm parked next mini coming today think,39
0,yup,3
0,anyway im going shopping cos sis done yet dun disturb u liao,60
0,luton ring ur around h,22
1,hey really horny want chat see naked text hot text charged pm unsubscribe text stop,83
0,dint come us,12
0,wana plan trip sometme,22
0,sure yet still trying get hold,30
1,ur ringtone service changed free credits go clubmobilescom choose content stop txt club stop pwk club po box mk wt,114
0,evo download flash jealous,26
1,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,94
0,come mu sorting narcotics situation,35
0,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,103
1,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv infowwwpercentrealcom,103
0,usf guess might well take car,29
0,objection bf coming,19
0,thanx,5
0,tell rob mack gf theater,24
0,awesome ill see bit,19
0,sent type food like,19
0,done handed celebrations full swing yet,39
0,got called tool,15
0,wen u miss someone,18
0,ok asked money far,18
0,okie,4
0,yeah think usual guys still passed last night get ahold anybody let know ill throw,82
0,k might come tonight class lets early,37
0,ok,2
0,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx,93
0,life means lot love life love people life world calls friends call world ge,75
0,dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense,125
0,hey told name gautham ah,24
0,haf u found feel stupid da v cam working,40
0,oops got bit,12
0,much buzy,9
0,accidentally deleted message resend please,42
1,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfebtcs apply,107
0,unless situation go gurl would appropriate,42
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,90
0,cant pick phone right pls send message,38
0,need coffee run tomocant believe time week already,50
0,awesome remember last time got somebody high first time diesel v,64
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,102
0,oh way food fridge want go meal tonight,39
0,womdarfull actor,16
1,sms ac blind date u rodds aberdeen united kingdom check httpimg sms acwicmbcktzr blind dates send hide,102
0,yup remb think book,19
0,jos ask u wana meet,19
0,lol yes friendship hanging thread cause u wont buy stuff,56
1,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap,99
0,garage keys arent bookshelf,27
0,today accept dayu accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,138
1,think ur smart win å week weekly quiz text play nowtcs winnersclub po box uz gbpweek,84
0,says hell give call friends got money hes definitely buying end week,68
0,hi way u day normal waythis real ur uniquei hope know u rest mylife hope u find wot lost,88
0,made day great day,18
0,kkadvance happy pongal,22
0,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,89
0,really dude friends im afraid,29
1,december mobile mths entitled update latest colour camera mobile free call mobile update co free,96
0,coffee cake guess,17
0,merry christmas babe love ya kisses,35
0,hey dont go watch x men lunch haha,34
0,cud u tell ppl im gona b bit l cos buses hav gon past cos full im still waitin pete x,85
0,would great well guild could meet bristol road somewhere get touch weekend plans take flight good week,102
0,problem,7
0,callsmessagesmissed calls,25
0,hi dahow todays class,21
0,id say thats good sign well know track record reading women,59
0,cool text youre parked,22
0,im reading text sent meant joke read light,42
0,kkapo kgood movie,17
0,maybe could get book tomo return immediately something,54
1,call germany pence per minute call fixed line via access number prepayment direct access,88
0,chance might evaporated soon violated privacy stealing phone number employers paperwork cool please contact report supervisor,125
1,valentines day special win å quiz take partner trip lifetime send go pmsg rcvd custcare,87
0,tadaaaaa home babe still,24
0,cool come havent wined dined,28
0,sleepingand surfing,19
0,sorry ill call later,20
0,u calling right call hand phone,31
0,ok thats great thanx lot,24
0,take post come must texts happy reading one wiv hello caroline end favourite bless,82
0,u hiding stranger,17
0,interested like,15
0,sister cleared two round birla soft yesterday,45
0,gudnitetcpractice going,23
0,dis yijue jus saw ur mail case huiming havent sent u num dis num,64
0,one small prestige problem,26
1,fancy shag dointerested sextextukcom txt xxuk suzy txts cost per msg tncs website x,83
0,checking really miss seeing jeremiah great month,48
0,nah cant help ive never iphone,30
0,youre car hour half im going apeshit,36
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good,99
0,yo guys ever figure much need alcohol jay trying figure much safely spend weed,78
0,ltgt ish minutes minutes ago wtf,32
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer,140
1,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs wwwldewcomwinppmxage,111
1,ur cashbalance currently pounds maximize ur cashin send cash pmsg cc hgsuitelands rowwjhl,89
0,im actor work work evening sleep late since im unemployed moment always sleep late youre unemployed every day saturday,118
0,hello got st andrewsboy long way cold keep posted,49
0,ha ha cool cool chikku chikkudb,31
0,oh ok prob,10
0,check audreys status right,26
0,busy trying finish new year looking forward finally meeting,59
0,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,91
0,well know z take care worries,29
1,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd calloptoutfq,122
1,discount code rp stop messages reply stop wwwregalportfoliocouk customer services,81
0,wat uniform get,15
0,cool text youre ready,21
0,hello boytoy geeee miss already woke wish bed cuddling love,59
0,spoil bed well,14
0,im going bath msg next ltgt min,31
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay,87
1,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services,98
0,say happen,10
0,could seen mei didt recognise face,34
0,well theres lot things happening lindsay new years sighs bars ptbo blue heron something going,93
0,keep payasam rinu brings,24
0,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake,96
0,guess thats worried must know theres way body repairs im quite sure shouldnt worry well take slow first tests guide ovulation relax nothing youve said reason worry ill keep followin,181
0,yeah sure give couple minutes track wallet,42
0,hey leave big deal take care,28
0,hey late ah meet,16
1,double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd calloptoutndx,111
0,took mr owl licks,17
0,customer place call,19
0,mm time dont like fun,21
1,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update orstoptxt,112
0,yup lunch buffet u eat already,30
0,huh late fr dinner,18
0,hey sat going intro pilates kickboxing,38
0,morning ok,10
0,yes think office lap room think thats last days didnt shut,58
0,pick bout ish time going,24
0,performance award calculated every two monthnot current one month period,72
0,actually sleeping still might u call back text gr rock sis send u text wen wake,79
0,always putting business put pictures ass facebook one open people ive ever met would think picture room would hurt make feel violated,133
0,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india,151
0,hmmmkbut want change field quickly dai wan na get system administrator network administrator,92
1,free ringtone text first poly text get true tone help st free tones xåpw eånd txt stop,86
0,dear chechi talk,16
0,hair cream shipped,18
0,none thats happening til get though,35
0,yep great loxahatchee xmas tree burning ltgt starts hour,56
0,haha get used driving usf man know lot stoners,46
0,well slightly disastrous class pm fav darlings hope day ok coffee wld good cant stay late tomorrow time place always,116
0,hello good week fancy drink something later,43
0,headin towards busetop,22
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,136
0,come room point iron plan weekend,33
0,cos want thing,14
0,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah,71
0,bring home wendy,16
1,dating service call boxskch,27
0,whatsup dont u want sleep,25
0,alright new goal,16
1,free entry å weekly competition text word win tc wwwtxttowincouk,64
0,alright ill head minutes text meet,34
1,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ads p,106
0,yesfrom last week im taking live call,37
1,someone contacted dating service entered phone fancy find call landline poboxntfp,81
0,siva hostel aha,15
1,urgent mobile number awarded å prize guaranteed call land line claim valid hrs,78
0,send ur friends receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny ltgt irritating ltgt lovable reply,173
0,ok shell ok guess,17
0,aathiwhere dear,15
0,pain urination thing else,25
0,esplanade ì_ mind giving lift cos got car today,47
0,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,108
0,home watching tv lor,20
0,usually take fifteen fucking minutes respond yes question,57
1,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wcnxx,105
0,booked ticket pongal,20
0,available im like right around hillsborough amp ltgt th,55
0,message sent askin ltgt dollars shoul pay ltgt ltgt,51
0,ask g iouri ive told story like ten times already,49
0,long applebees fucking take,27
0,hi hope u get txtjourney hasnt gdnow mins late think,52
0,like love arrange,17
0,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get,77
0,supposed wake gt,16
0,oic saw tot din c found group liao,34
0,sorry ill call later,20
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,61
0,sorry battery died come im getting gram wheres place,52
0,well done blimey exercise yeah kinda remember wot hmm,53
0,wont get concentration dear know mind everything,48
0,lol made plans new years,24
0,min later k,11
0,hanks lotsly,12
0,thanks hope good day today,26
0,kkwhat detail want transferacc enough,37
0,ok tell stay yeah tough optimistic things improve month,55
1,loan purpose å å homeowners tenants welcome previously refused still help call free text back help,98
0,si si think ill go make oreo truffles,37
0,look amy ure beautiful intelligent woman like u lot know u donåõt like like donåõt worry,88
0,hope thats result consistently intelligent kind start asking practicum links keep ears open best ttyl,101
0,call cost guess isnt bad miss ya need ya want ya love ya,56
0,going thru different feelingwavering decisions coping individualtime heal everything believe,92
0,u go phone gon na die stay,26
0,great never better day gives even reasons thank god,51
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july tcs apply optout available,122
0,sorry ill call later ok bye,27
0,ok way railway,14
0,great princess love giving receiving oral doggy style fave position enjoy making love ltgt times per night,106
0,dont put stuff roads keep getting slippery,42
0,going ride bike,15
0,yup need ill jus wait e rain stop,33
0,many company tell language,26
1,okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cwwx ppm,100
0,long since screamed princess,28
0,nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollars got removed banks differ charges also differbe sure trust ja person sending account details cos,197
1,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network txting moan nyt eca pmsgp,127
0,nice line said broken heart plz dont cum times infront wise trust u good,72
0,ok im gon na head usf like fifteen minutes,42
0,love aathilove u lot,20
0,tension ahwhat machiany problem,31
0,k pick another th youre done,28
0,whenre guys getting back g said thinking staying mcr,52
0,almost see u sec,16
0,yo carlos friends already asking working weekend,48
0,watching tv lor,15
0,thank baby cant wait taste real thing,37
0,change fb jaykwon thuglyfe falconerf,36
0,win really side long time,25
1,free message activate free text messages replying message word free terms conditions visit wwwcom,97
0,dear reached railway happen,27
0,depends quality want type sent boye faded glory want ralphs maybe,65
0,think ive fixed send test message,33
0,sorry man accounts dry would want could trade back half could buy shit credit card,82
1,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss,95
0,sorryin meeting ill call later,30
0,class ltgt reunion,18
0,free nowcan call,16
0,got meh,7
0,nope think go monday sorry replied late,39
0,told accenture confirm true,27
0,kate jackson rec center ish right,33
0,dear reache room,16
0,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,98
0,ì_ come,7
0,check nuerologist,17
0,lolnice went fish water,23
1,congratulations weeks competition draw u å prize claim call b tcsstop sms ppm,77
0,waiting e car dats bored wat cos wait outside got nothing home stuff watch tv wat,81
0,maybe westshore hyde park village place near house,50
0,know hows anthony bringing money ive school fees pay rent stuff like thats need help friend need,96
0,whats significance,18
0,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,83
0,latest gs still scrounge ammo want give new ak try,50
0,prabhaim sorydarealyfrm heart im sory,37
0,lol ok forgiven,15
0,nojst change tat,16
1,guaranteed latest nokia phone gb ipod mp player å prize txt word collect ibhltd ldnwh pmtmsgrcvd,96
0,sno competition,15
1,boltblue tones p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt,95
1,credits topped httpwwwbubbletextcom renewal pin tgxxrz,54
0,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri,112
0,usually person unconscious thats children adults may behave abnormally ill call,79
0,thats ebay might less elsewhere,31
0,shall come get pickle,21
0,gon na go get tacos,19
0,thats rude campus,17
1,urgent mobile awarded å bonus caller prize nd attempt contact call boxqu,72
0,hi wont b ard christmas enjoy n merry xmas,42
1,todays offer claim ur å worth discount vouchers text yes savamob member offers mobile cs å sub unsub reply x,108
0,yes pretty lady like single,27
1,recieve tone within next hrs terms conditions please see channel u teletext pg,78
0,jay says youre doublefaggot,27
1,private account statement shows unredeemed sim points call identifier code expires,82
0,todaysundaysunday holidayso work,32
0,gudnitetcpractice going,23
0,ill late,8
0,ive called hoping lr malaria know miss guys miss bani big pls give love especially great day,92
0,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea,98
0,probably gon na see later tonight lt,36
0,maybe fat fingers press buttons doesnt know,43
0,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,74
0,tirupur da started office call,30
1,wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop,79
0,famous quote develop ability listen anything unconditionally without losing temper self confidence means married,112
0,going college pa else ill come self pa,38
0,oclock mine bash flat plan,26
0,girl stay bed girl doesnt need recovery time id rather pass fun cooped bed,74
0,special,7
0,know need get hotel got invitation apologise cali sweet come english blokes weddin,82
0,sorry took long omw,19
0,wait ltgt min,13
0,ok give minutes think see btw youre alibi cutting hair whole time,65
0,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,142
0,hurry ive weeddeficient like three days,39
0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,83
0,ok every night take warm bath drink cup milk youll see work magic still need loose weight know,94
0,iûll look frying pan case itûs cheap book perhaps thatûs silly frying pan isnût likely book,91
0,well uv causes mutations sunscreen like essential thesedays,59
0,lunchyou onlinewhy,18
0,know friend already told,24
0,hi princess thank pics pretty,29
0,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ahgee,109
0,hi msg meim office,18
0,thanx e brownie v nice,22
0,geeeee love much barely stand,29
1,gent trying contact last weekends draw shows å prize guaranteed call claim code k valid hrs ppm,95
0,fuck babe miss already know cant let send money towards net need want crave,75
0,ill call u mrw ninish address icky american freek wont stop callin bad jen k eh,79
0,oooh bed ridden ey thinking,27
0,anyways go gym whatever love smiles hope ok good day babe miss much already,75
0,love daddy make scream pleasure going slap ass dick,51
0,wot u wan na missy,18
0,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee,93
0,know lab goggles went,21
0,open door,9
0,waiting call,12
0,nope waiting sch daddy,22
1,cash prize claim call,21
0,im tired arguing week week want ill,35
0,ìï wait sch finish ard,22
1,mobile number å claim calls us back ring claims hot line,56
0,arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt snake amp sayin bite bite,107
0,huh early ì_ dinner outside izzit,33
0,ok anyway need change said,26
1,tried contact reply offer mins textand new video phone call reply free delivery tomorrow,88
0,exwife able kids want kids one day,34
0,hows scotland hope showing jjc tendencies take care live dream,62
0,tell u headache want use hour sick time,39
0,dun thk ill quit yet hmmm go jazz yogasana oso go meet em lessons den,69
0,pete please ring meive hardly gotany credit,43
0,ya srsly better yi tho,22
0,im meeting call later,21
1,ur chance win å wkly shopping spree txt shop tscs wwwtxtshopcom custcare xpwk,77
1,specially selected receive pound award call lines close cost ppm tcs apply ag promo,83
1,private account statement shows unredeemed points call identifier code expires,78
0,still grand prix,16
0,met stranger choose friend long world stands friendship never ends lets friends forever gud nitz,96
0,great,5
0,gud mrng dear nice day,22
